locationId,location,city,country,utc,local,parameter,value,unit,latitude,longitude
6050,Southport,South East Queensland,AU,2021-07-06T17:00:00+00:00,2021-07-07T03:00:00+10:00,o3,0.009,ppm,-27.9612,153.402
6050,Southport,South East Queensland,AU,2021-07-06T16:00:00+00:00,2021-07-07T02:00:00+10:00,pm25,7,µg/m³,-27.9612,153.402
6050,Southport,South East Queensland,AU,2021-07-06T16:00:00+00:00,2021-07-07T02:00:00+10:00,pm10,15,µg/m³,-27.9612,153.402
6050,Southport,South East Queensland,AU,2021-07-06T16:00:00+00:00,2021-07-07T02:00:00+10:00,o3,0.009,ppm,-27.9612,153.402
6050,Southport,South East Queensland,AU,2021-07-06T14:00:00+00:00,2021-07-07T00:00:00+10:00,pm10,15.2,µg/m³,-27.9612,153.402
6050,Southport,South East Queensland,AU,2021-07-06T14:00:00+00:00,2021-07-07T00:00:00+10:00,pm25,7.3,µg/m³,-27.9612,153.402
6050,Southport,South East Queensland,AU,2021-07-06T14:00:00+00:00,2021-07-07T00:00:00+10:00,o3,0.007,ppm,-27.9612,153.402
6050,Southport,South East Queensland,AU,2021-07-06T13:00:00+00:00,2021-07-06T23:00:00+10:00,pm10,15.2,µg/m³,-27.9612,153.402
6050,Southport,South East Queensland,AU,2021-07-06T13:00:00+00:00,2021-07-06T23:00:00+10:00,o3,0.004,ppm,-27.9612,153.402
6050,Southport,South East Queensland,AU,2021-07-06T13:00:00+00:00,2021-07-06T23:00:00+10:00,pm25,7.4,µg/m³,-27.9612,153.402
6050,Southport,South East Queensland,AU,2021-07-06T12:00:00+00:00,2021-07-06T22:00:00+10:00,pm25,7.4,µg/m³,-27.9612,153.402
6050,Southport,South East Queensland,AU,2021-07-06T12:00:00+00:00,2021-07-06T22:00:00+10:00,pm10,15.3,µg/m³,-27.9612,153.402
6050,Southport,South East Queensland,AU,2021-07-06T12:00:00+00:00,2021-07-06T22:00:00+10:00,o3,0.003,ppm,-27.9612,153.402
6050,Southport,South East Queensland,AU,2021-07-06T11:00:00+00:00,2021-07-06T21:00:00+10:00,pm25,7.4,µg/m³,-27.9612,153.402
6050,Southport,South East Queensland,AU,2021-07-06T11:00:00+00:00,2021-07-06T21:00:00+10:00,pm10,15.2,µg/m³,-27.9612,153.402
6050,Southport,South East Queensland,AU,2021-07-06T11:00:00+00:00,2021-07-06T21:00:00+10:00,o3,0.001,ppm,-27.9612,153.402
6050,Southport,South East Queensland,AU,2021-07-06T10:00:00+00:00,2021-07-06T20:00:00+10:00,pm10,13.9,µg/m³,-27.9612,153.402
6050,Southport,South East Queensland,AU,2021-07-06T10:00:00+00:00,2021-07-06T20:00:00+10:00,pm25,6.2,µg/m³,-27.9612,153.402
6050,Southport,South East Queensland,AU,2021-07-06T10:00:00+00:00,2021-07-06T20:00:00+10:00,o3,0.008,ppm,-27.9612,153.402
6050,Southport,South East Queensland,AU,2021-07-06T09:00:00+00:00,2021-07-06T19:00:00+10:00,o3,-9999,ppm,-27.9612,153.402
6050,Southport,South East Queensland,AU,2021-07-06T09:00:00+00:00,2021-07-06T19:00:00+10:00,pm10,11.1,µg/m³,-27.9612,153.402
6050,Southport,South East Queensland,AU,2021-07-06T09:00:00+00:00,2021-07-06T19:00:00+10:00,pm25,4.3,µg/m³,-27.9612,153.402
6050,Southport,South East Queensland,AU,2021-07-06T08:00:00+00:00,2021-07-06T18:00:00+10:00,pm10,11.4,µg/m³,-27.9612,153.402
6050,Southport,South East Queensland,AU,2021-07-06T08:00:00+00:00,2021-07-06T18:00:00+10:00,pm25,4.5,µg/m³,-27.9612,153.402
6050,Southport,South East Queensland,AU,2021-07-06T08:00:00+00:00,2021-07-06T18:00:00+10:00,o3,0.021,ppm,-27.9612,153.402
6050,Southport,South East Queensland,AU,2021-07-06T07:00:00+00:00,2021-07-06T17:00:00+10:00,pm25,4.5,µg/m³,-27.9612,153.402
6050,Southport,South East Queensland,AU,2021-07-06T07:00:00+00:00,2021-07-06T17:00:00+10:00,pm10,11.3,µg/m³,-27.9612,153.402
6050,Southport,South East Queensland,AU,2021-07-06T07:00:00+00:00,2021-07-06T17:00:00+10:00,o3,0.025,ppm,-27.9612,153.402
6050,Southport,South East Queensland,AU,2021-07-06T06:00:00+00:00,2021-07-06T16:00:00+10:00,o3,0.028,ppm,-27.9612,153.402
6050,Southport,South East Queensland,AU,2021-07-06T06:00:00+00:00,2021-07-06T16:00:00+10:00,pm25,4.3,µg/m³,-27.9612,153.402
6050,Southport,South East Queensland,AU,2021-07-06T06:00:00+00:00,2021-07-06T16:00:00+10:00,pm10,10.9,µg/m³,-27.9612,153.402
6050,Southport,South East Queensland,AU,2021-07-06T04:00:00+00:00,2021-07-06T14:00:00+10:00,o3,0.026,ppm,-27.9612,153.402
6050,Southport,South East Queensland,AU,2021-07-06T04:00:00+00:00,2021-07-06T14:00:00+10:00,pm25,4.4,µg/m³,-27.9612,153.402
6050,Southport,South East Queensland,AU,2021-07-06T04:00:00+00:00,2021-07-06T14:00:00+10:00,pm10,10.4,µg/m³,-27.9612,153.402
